,epoch,epoch_loss,epoch_acc
0,0,2.5362470800226387,0
1,1,1.867219055782665,0
2,2,1.0960393038662997,0
3,3,0.5556204275651412,0
4,4,0.2746152078563517,0
5,5,0.2201483591036363,0
6,6,0.086318109116771,0
7,7,0.08184644498608329,0
8,8,0.07020283361727542,0
9,9,0.06021227795969356,0
10,10,0.044751504063606264,0
11,11,0.025488769804889507,1
12,12,0.024624527211893687,1
13,13,0.03593069106679071,0
14,14,0.018975971156561917,1
15,15,0.035394058088687334,0
16,16,0.06387008618224752,0
17,17,0.01318775327368216,1
18,18,0.026379627260294827,1
19,19,0.027911386097019368,1
20,20,0.03132626116275787,0
21,21,0.017429629908027974,1
22,22,0.0075993784110654486,1
23,23,0.012169938255101442,1
24,24,0.013086423100056973,1
25,0,0.0,0
26,0,0.0,0
27,0,0.0,0
28,0,0.0,0
29,0,0.0,0
30,0,0.0,0
